"","year","mpaa","A_power","HolidaySeason","producer_power","director_power","distributor_power","genre_power","domestic_cut","budget_cut","numVotes_cut","averageRating_round"
"2097","2012","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2098","2015","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","8"
"2099","2010","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","4"
"2100","2013","5","1","FALSE","FALSE","FALSE","TRUE","FALSE","medium","medium","high","8"
"2101","2011","3","1","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2102","2017","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","high","medium","high","7"
"2103","2012","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","6"
"2104","2012","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","medium","6"
"2105","2015","5","0","FALSE","FALSE","FALSE","TRUE","FALSE","high","medium","medium","8"
"2106","2011","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","6"
"2107","2010","5","1","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","medium","7"
"2108","2011","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","7"
"2109","2010","4","2","TRUE","FALSE","FALSE","FALSE","TRUE","high","medium","high","8"
"2110","2010","4","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","7"
"2111","2010","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","6"
"2112","2013","4","2","FALSE","FALSE","FALSE","FALSE","TRUE","high","high","high","8"
"2113","2014","4","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","medium","6"
"2114","2012","4","2","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2115","2011","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","high","6"
"2116","2013","5","1","FALSE","TRUE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2117","2011","5","0","FALSE","FALSE","FALSE","TRUE","TRUE","low","low","low","3"
"2118","2011","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","high","high","6"
"2119","2011","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","low","5"
"2120","2011","4","0","FALSE","FALSE","FALSE","FALSE","TRUE","medium","low","medium","7"
"2121","2013","4","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","medium","6"
"2122","2010","3","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","6"
"2123","2010","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","low","6"
"2124","2014","4","0","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","5"
"2125","2010","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","low","medium","6"
"2126","2010","5","0","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","low","7"
"2127","2010","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","low","medium","medium","5"
"2128","2010","5","0","TRUE","FALSE","FALSE","TRUE","TRUE","medium","medium","high","6"
"2129","2013","3","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","low","5"
"2130","2013","5","1","FALSE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2131","2013","4","1","TRUE","FALSE","FALSE","TRUE","TRUE","high","high","high","7"
"2132","2014","4","1","TRUE","FALSE","FALSE","FALSE","TRUE","medium","medium","medium","6"
"2133","2012","3","0","FALSE","FALSE","FALSE","TRUE","FALSE","medium","medium","low","6"
"2134","2012","3","1","FALSE","FALSE","FALSE","TRUE","TRUE","medium","medium","medium","7"
"2135","2016","5","1","FALSE","FALSE","FALSE","TRUE","TRUE","high","medium","high","8"
"2136","2010","4","0","TRUE","FALSE","FALSE","FALSE","TRUE","low","low","low","7"
